id,uuid,response,latitude,longitude,displayed_at_UTC,recorded_at_UTC,prompt_num,displayed_at_epoch,recorded_at_epoch
80,B,Meal or snack,43.650213,-79.388952,2018-05-25T17:39:32-04:00,2018-05-25T17:40:02-04:00,2,1527284372,1527284402
81,B,Walk,43.652555,-79.391593,2018-05-25T18:56:47-04:00,2018-05-25T19:10:10-04:00,1,1527289007,1527289810
82,B,Recreation,43.652555,-79.391593,2018-05-25T18:56:47-04:00,2018-05-25T19:10:10-04:00,2,1527289007,1527289810
83,B,Walk,43.646476,-79.394426,2018-05-25T20:03:41-04:00,2018-05-25T20:13:13-04:00,1,1527293021,1527293593
84,B,Recreation,43.646476,-79.394426,2018-05-25T20:03:41-04:00,2018-05-25T20:13:13-04:00,2,1527293021,1527293593
85,B,Walk,43.646438,-79.398607,2018-05-26T10:14:39-04:00,2018-05-26T10:15:12-04:00,1,1527344079,1527344112
86,B,Doing something for your family,43.646438,-79.398607,2018-05-26T10:14:39-04:00,2018-05-26T10:15:12-04:00,2,1527344079,1527344112
87,B,Walk,43.647582,-79.401917,2018-05-26T11:03:30-04:00,2018-05-26T11:08:34-04:00,1,1527347010,1527347314
88,B,Grocery shopping,43.647582,-79.401917,2018-05-26T11:03:30-04:00,2018-05-26T11:08:34-04:00,2,1527347010,1527347314
89,B,Walk,43.646361,-79.398517,2018-05-26T11:46:52-04:00,2018-05-26T11:47:14-04:00,1,1527349612,1527349634
90,B,Other shopping,43.646361,-79.398517,2018-05-26T11:46:52-04:00,2018-05-26T11:47:14-04:00,2,1527349612,1527349634
91,B,Other ,45.45936,-73.748724,2018-05-28T10:26:05-04:00,2018-05-28T10:26:24-04:00,1,1527517565,1527517584
92,B,Work-related,45.45936,-73.748724,2018-05-28T10:26:05-04:00,2018-05-28T10:26:24-04:00,2,1527517565,1527517584
93,B,Taxi/Uber/etc.,45.518227,-73.566708,2018-05-28T11:01:51-04:00,2018-05-28T11:02:32-04:00,1,1527519711,1527519752
94,B,Work-related,45.518227,-73.566708,2018-05-28T11:01:51-04:00,2018-05-28T11:02:32-04:00,2,1527519711,1527519752
95,B,Walk,45.517966,-73.569222,2018-05-28T11:14:07-04:00,2018-05-28T11:14:25-04:00,1,1527520447,1527520465
96,B,Meal or snack,45.517966,-73.569222,2018-05-28T11:14:07-04:00,2018-05-28T11:14:25-04:00,2,1527520447,1527520465
97,B,Walk,45.518624,-73.566724,2018-05-28T12:47:12-04:00,2018-05-28T12:47:21-04:00,1,1527526032,1527526041
98,B,Other,45.518624,-73.566724,2018-05-28T12:47:12-04:00,2018-05-28T12:47:21-04:00,2,1527526032,1527526041
99,B,Bicycle,45.509408,-73.571534,2018-05-28T17:56:57-04:00,2018-05-28T17:57:15-04:00,1,1527544617,1527544635
100,B,Meal or snack,45.509408,-73.571534,2018-05-28T17:56:57-04:00,2018-05-28T17:57:15-04:00,2,1527544617,1527544635
101,B,Other ,45.51874,-73.566665,2018-05-28T22:37:49-04:00,2018-05-29T12:05:12-04:00,1,1527561469,1527609912
102,B,Other,45.51874,-73.566665,2018-05-28T22:37:49-04:00,2018-05-29T12:05:12-04:00,2,1527561469,1527609912
103,C,Car,43.669969,-79.33844,2018-05-23T12:43:28-04:00,2018-05-23T12:43:50-04:00,1,1527093808,1527093830
