user_id,sequence,location_id,mode,unknown,local_start_time,unix_start_time
C,15,4,,,2018-05-24 14:54:00,1527188040
C,16,,car,,2018-05-24 15:40:00,1527190800
C,17,5,,,2018-05-24 16:01:00,1527192060
C,18,,car,,2018-05-24 16:21:00,1527193260
C,19,1,,,2018-05-24 16:39:00,1527194340
C,20,,walk,,2018-05-25 08:43:00,1527252180
C,21,2,,,2018-05-25 08:56:00,1527252960
C,22,,walk,,2018-05-25 09:00:00,1527253200
C,23,1,,,2018-05-25 09:10:00,1527253800
C,24,,walk/streetcar/subway/car,,2018-05-25 17:15:00,1527282900
C,25,6,,,2018-05-25 17:59:00,1527285540
C,26,,car,,2018-05-25 20:15:00,1527293700
C,27,1,,,2018-05-25 20:35:00,1527294900
C,28,,,TRUE,2018-05-25 20:40:00,1527295200
C,29,,walk,,2018-05-27 13:52:00,1527443520
C,30,7,,,2018-05-27 13:57:00,1527443820
C,31,,walk,,2018-05-28 08:55:00,1527512100
C,32,1,,,2018-05-28 09:00:00,1527512400
C,33,,walk/bus/walk,,2018-05-28 14:00:00,1527530400
C,34,8,,,2018-05-28 14:50:00,1527533400
C,35,,walk/bus/walk,,2018-05-28 16:30:00,1527539400
C,36,1,,,2018-05-28 17:14:00,1527542040
C,37,,walk,,2018-05-29 08:38:00,1527597480
C,38,2,,,2018-05-29 08:49:00,1527598140
C,39,,streetcar/walk,,2018-05-29 08:52:00,1527598320
C,40,9,,,2018-05-29 09:27:00,1527600420
C,41,,,TRUE,2018-05-29 12:04:00,1527609840
